Observa_lematizada ; Observa_Orig ; Presta_Lematizada;Presta_Orig
auto estacionado anoche área ascenso descenso discapacitado área debidamente señalizado cartel pintura amarillo;Auto estacionado desde anoche en área de ascenso y descenso de discapacitados, área debidamente señalizada con cartel y pintura amarilla.;vehículo mal estacionado;Vehículo mal estacionado;00300253/23
auto estacionado área ascenso descenso discapacitado debidamente señalizado cartel pintura amarillo impedir yo subir padre zona asignar;Auto estacionado en área de ascenso y descenso de discapacitados, debidamente señalizada con cartel y pintura amarilla. Impidiéndome subir a mi padre en la zona asignada;vehículo mal estacionado;Vehículo mal estacionado;00335679/23
auto estacionado demasiado grande bloquear área ascenso descenso discapacitado impedir yo bajar mamá alzheimer;El auto estacionado es  demasiado grande y bloquea el área de ascenso y descenso de discapacitados. Impidiéndome bajar a mi mamá que tiene a alzheimer.;vehículo mal estacionado;Vehículo mal estacionado;00354276/23
auto estacionado área ascenso descenso discapacitado debidamente señalizado cartel pintura amarillo;Auto estacionado en área de ascenso Y descenso de discapacitados. Debidamente señalizada con cartel y pintura amarilla;vehículo mal estacionado;Vehículo mal estacionado;00347823/23
trailer abandonado hacer reclamo cerrar resolver hacer cargo ineficiencia;Hay un trailer abandonado, hice muchos reclamos y lo cierran sin resolver. Quien se hace cargo de la ineficiencia?;remoción volquete abandonado mal dispuesto;Remoción de volquete abandonado o mal dispuesto;00093775/23
retiro mueble roto lado contenedor;Retiro de muebles rotos al lado del contenedor;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00103650/23
;;queja Contenedores basura;Queja por Contenedores de basura;00025567/23
arbol esquina necesitar poda urgente;El arbol de la esquina necesita poda urgente.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00255864/23
vereda desastrozo gente agua romper vlvio tapar quedar mal ahora vereda hundir;La vereda esta en un estado desastrozo, la gente de aguas , rompio lo vlvio a tapar y quedo muy mal , ahora la vereda se esta hundiendo;reparación veredo;Reparación de vereda;00272405/23
árbol frente casa doblar peso rama ir hacia casa árbol jovencito;El árbol frente a mi casa se está doblando por el peso de las ramas, y esta yendo hacia mi casa. Es un árbol jovencito.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00061985/23
casa abandonado luego inicio construcción;La casa está abandonada luego del inicio de construcción.;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00057725/23
querer solicitar extracción árbol enfermo infectado presentar hongo tronco telaraña rastro baboso;Quiero solicitar la extracción del árbol porque esta enfermo e infectado. Presenta hongos en el tronco, telarañas y rastros de babosas;Instalación Campana Verde;Instalación de Campana Verde;00133716/23
finalizar;finalizar;retiro escombro resto obra;Retiro de escombros / restos de obra;00119971/23
faltar tapa agujero enorme paso niño escuela;Falta una tapa y hay un agujero enorme en el paso de los niños a la escuela;reparación veredo;Reparación de vereda;00123070/23
DIAS barrendero empujar basura debajo CONTENEDOR esconder var . LLENO rata;TODOS LOS DIAS EL BARRENDERO EMPUJA LA BASURA DEBAJO DEL CONTENEDOR LA ESCONDE Y SE VA. ESTA LLENO DE RATAS;queja Contenedores basura;Queja por Contenedores de basura;00127588/23
Presencial policial Robos piraña arrebato robo automotor arma fuego ROBOS comercios robo mobiliario público URGENTE SEGURIDAD policial vecino CALLE AVELINO diaz CARABOBO Lautaro;Presencial policial. Robos piraña  arrebatos  robo automotor, con armas de fuego  ROBOS A COMERCIOS . Robo de mobiliario público. URGENTE SEGURIDAD POLICIAL VECINOS DE LA CALLE AVELINO DIAZ ENTRE CARABOBO Y LAUTARO;Mayor presencia policial;Mayor presencia policial;00127598/23
necesitar presencia policial cansado robar robo piraño robo vehículo pasar techo robo mano armado moto chorro robar medidor gas ir volar aire gente querer hacer denuncia;Necesitamos presencia policial, cansados que nos roben, robos piraña, robo de vehículos  pasan por los techos, robo a mano armada, moto chorros hasta se roban los medidores de gas. Vamos a volar todos por el aire. La gente no quiere hacer la denuncia;Mayor presencia policial;Mayor presencia policial;00184858/23
urgente presencia policial inrenta entrar domicilio robo mano armada roban pasando techos;URGENTE PRESENCIA POLICIAL. INRENTA ENTRAR A LOS DOMICILIOS. ROBOS A MANO ARMADA. ROBAN PASANDO POR LOS TECHOS;Mayor presencia policial;Mayor presencia policial;00256685/23
urgente presencia policial reiterado robo mano armada entradera robo techos necesitar presencia policial urgente bastar pase movil;URGENTE PRESENCIA POLICIAL. REITERADOS ROBOS A MANO ARMADA. ENTRADERAS. ROBO POR LOS TECHOS.  NECESITAMOS PRESENCIA POLICIAL URGENTE. NO BASTA CON QUE PASE UN MOVIL;Mayor presencia policial;Mayor presencia policial;00256688/23
siguir sucedir robo semana mas 3 automotor;SIGUEN SUCEDIENDO  ROBOS EN UN SEMANA MAS DE 3 A AUTOMOTOR.;Mayor presencia policial;Mayor presencia policial;00338217/23
barrendero ver basura barre levantar decir corresponder lleno rata mugre;El barrendero ve la basura y no la barre ni levanta, dice que no le corresponde. Estamos llenos de ratas y mugre.;queja Contenedores basura;Queja por Contenedores de basura;00353737/23
Casa deshabitado JARDIN PLANTAS dueño criadero larva necesitar urgente Fumigación zona LLENO mosquito rata;Casa deshabitadas CON JARDIN Y PLANTAS  pero con dueños. Es un criadero de larvas. NECESITAMOS URGENTE FUMIGACION EN LA ZONA. ESTA LLENO DE MOSQUITOS Y RATAS;criadero mosquito;Criaderos de mosquitos;00342590/23
solicitar reparación luz calle si bien encender alumbrar;Se solicita la reparación de la luz de la calle , si bien enciende ya no alumbra.;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00070331/23
Luz apagada noche Luminaria rota;Luz apagada por la noche. Luminaria rota .;reparación luminario artefacto roto;Reparación de luminaria por artefacto roto;00177622/23
auto mal estacionado entrada Garage x Partido Boca FORD ecoesport Patente NTT 398;Auto mal estacionado en entrada de Garage x Partido De Boca. FORD ECOESPORT Patente NTT 398;vehículo mal estacionado;Vehículo mal estacionado;00367091/23
rama gigante calle;Hay una rama gigante en la calle;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00055264/23
vehiculo obstruir cochera poder ingresar auto;Vehiculo obstruyendo mi cochera, no pude ingresar con mi auto;vehículo mal estacionado;Vehículo mal estacionado;00146437/23
Cesto papelero romper esq san blas cuenca san blas mano par;Cesto papelero roto esq san blas y cuenca. Sobre san blas mano par;reparación cesto papelero;Reparación de cesto papelero;00137141/23
FAVOR Arreglen TAPA CONTENEDOR negro PISA PALANCA levantar bien arriba ayudar mano levantarlo bolsa grandes pasan;POR FAVOR, ARREGLEN LA TAPA DEL CONTENEDOR NEGRO. UNO PISA LA PALANCA Y NO LEVANTA BIEN HASTA ARRIBA, HAY QUE AYUDAR CON LA MANO PARA LEVANTARLO.  BOLSAS GRANDES NO PASAN.;queja Contenedores basura;Queja por Contenedores de basura;00258458/23
vecino dejar abandonado planta cactus espina peligroso necesitar árbol permitido colocar favor riesgo;Vecino dejó abandonada sus plantas algunos cactus con espinas muy peligrosas y necesitamos un árbol permitido que coloquen por favor  Es de riesgo para todos;plantación árbol;Plantación de árbol;00087217/23
contenedor negro manija roto además deber volver poner cartel indicar deber tirar él cualquiera objeto vecino dejar cualquiera cosa lado mucho vez ser vidrio;El contenedor negro no tiene manija, la han roto Además deberían volver a poner carteles que indiquen que no debe tirarse cualquier objeto, los vecinos dejan cualquier cosa a su lado muchas veces siendo vidrios;queja Contenedores basura;Queja por Contenedores de basura;00087213/23
Parada colectivo línea 181 84 día auto estacionado parada colectivo hacer peatón poder subir colectivo correctamente policía hacer infracción mando reclamo acá mandar decir leer bien patente todo foto asegurado si leer bien favor hacer dejar ser costumbre estacionar ahi Ademas linea marillla;Parada de colectivos líneas 181 y 84.  TODOS  los días hay autos estacionados en esa parada de colectivo haciendo que los peatones no podamos subir al colectivo correctamente. No hay policías para hacer infracciones y cuando mando el reclamo por acá (son muchos los que he mandado) me dicen que no se lee bien la patente y en todas las fotos me he asegurado que si se lea bien. Como en esta.  Por favor hacer algo para que deje de ser costumbre estacionar ahi. Ademas es linea a marillla;vehículo mal estacionado;Vehículo mal estacionado;00021229/23
vehiculo estacionado parada colectivo 181 84 obstruyendola sumado linea amarilla;VEHICULO ESTACIONADO EN PARADA DE COLECTIVOS 181/84 OBSTRUYENDOLA. SUMADO A QUE ES LINEA AMARILLA;vehículo mal estacionado;Vehículo mal estacionado;00003144/23
hacer trabajo arreglo caño dos tramo cuadra Rivera indarte 400 Bilbao a ev Directorio mitad cuadra esquina dejar todo cuadra lleno lodo barro Vereda calle opción permitir cargar pedido así hacer aca necesitar limpieza hidrolavador barro dejar imposible hacer él forma particular todo cuadra falta respeto hacer trabajo Aysa dejar mugre dejar todo cuadra;SE hizo un trabajo de arreglo de caños en dos tramos de esa cuadra ( Rivera indarte al 400. Entre Bilbao y Av Directorio). A mitad de cuadra y en la esquina. Dejaron toda la cuadra llena de lodo/barro. Vereda y calle. No hay otra opción que me permita cargar este pedido, así que lo hago aca. Se necesita una limpieza con hidrolavadora o algo para que quien todo el barro que dejaron. Eso es imposible hacerlo de forma particular porque es toda la cuadra. Es una falta de respeto que hagan ese trabajo de Aysa y dejen la mugre que dejaron en toda la cuadra;hidrolavado grafitis pegatina;Hidrolavado por grafitis/pegatinas;00017491/23
solicitar retirar termotanque;Solicito retirar un termotanque;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00051355/23
vehículo estacionado mitad calle tres hora;Vehículo estacionado en la mitad de la calle por más de tres horas;vehículo mal estacionado;Vehículo mal estacionado;00130265/23
pensar arreglar vereda Humberto primo a ev Paseo Colón Balcarce tercero vez caer;No piensan arreglar la vereda de  Humberto primo entre Av Paseo Colón y Balcarce ?? Ya es la tercera vez que me caigo;Acceso información público;Acceso a la información pública;00009008/23
todo vereda alrededor luminaria auxiliar iluminar vereda solo vereda iluminacion poste iluminar bien vereda enfrente serio mano par mano impar oscuro peligroso noche robar romper auto;todas las veredas alrededor tienen la luminaria auxiliar que ilumina la vereda ,solo esta vereda no la tiene y la iluminacion de poste ilumina bien la vereda de enfrente que seria la mano par, esta es mano impar y es muy oscura y peligrosa a la noche,roban y rompen los autos;Mayor iluminación calle plaza;Mayor iluminación en calle / plaza;00069652/23
vereda unico poste luz auxiliar iluminar vereda oscuro xq luz poste iluminar vereda enfrente;mi vereda es la unica que en los postes no tiene la luz auxiliar que ilumina la vereda, y es muy oscura xq las luces de los postes iluminan la vereda de enfrente.;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00069660/23
vecina solicitar fumigación bicho;la vecina solicita la fumigación de uno bichos .;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00149857/23
boca tormenta puerta Miranda 3990 agua estancado hacer mes agua negro lleno suciedad mosquito;La boca de tormenta que está en la puerta de Miranda 3990 tiene el agua estancada hace meses. Está el agua negra y llena de suciedad y mosquitos;criadero mosquito;Criaderos de mosquitos;00222340/23
;;vehículo mal estacionado;Vehículo mal estacionado;00101550/23
vehiculo inmóvil ml generar suciedad basura;Vehiculo inmóvil, en ml estado. Genera suciedad y basura.;remoción vehículo abandonado;Remoción de vehículo abandonado;00040612/23
hacer varios día encontrar basura contenedor ensuciar vereda alrededor;Hace varios días se encuentra con basura por fuera del contenedor, ensuciando también la vereda y alrededores.;queja Contenedores basura;Queja por Contenedores de basura;00025670/23
vecina solicitar vaciar contenedor recoger todo basura encontrar alrededor mismo Gracias;La vecina solicita que se vacié el contenedor y se recoja toda la basura que se encuentra alrededor del mismo. Gracias;queja Contenedores basura;Queja por Contenedores de basura;00077151/23
auto abandonado hacer mes generar basura suciedad;Auto abandonado hace meses. Generando basura y suciedad.;remoción vehículo abandonado;Remoción de vehículo abandonado;00146072/23
auto abandonado hacer mes generar basura contaminación;Auto abandonado hace meses, generando basura y contaminación.;remoción vehículo abandonado;Remoción de vehículo abandonado;00211101/23
Auto encontrar abandonado hacer mes goma pinchado hoja basura alrededor generar suciedad contaminación ambiental justo lado contenedor basura calle Bartolomé Mitre 3840 Salguero Medrano CABA Barrio Almagro Comuna 5;Auto que se encuentra abandonado hace meses. Tiene una goma pinchada, hojas y basura alrededor.  Genera suciedad y contaminación ambiental. Está justo al lado de un contenedor de basura. En la calle Bartolomé Mitre 3840 (entre Salguero y Medrano), CABA, Barrio de Almagro. Comuna 5.;remoción vehículo abandonado;Remoción de vehículo abandonado;00287130/23
auto abandonado hacer mes generar suciedad malo higiene lugar alrededor;Auto abandonado hace meses. Genera suciedad y mala higiene en el lugar y alrededores.;remoción vehículo abandonado;Remoción de vehículo abandonado;00265011/23
poseer 15 bolsa escombro jardin delantero casa;Poseo 15 bolsas de escombros en el jardin delantero de mi casa;retiro escombro resto obra;Retiro de escombros / restos de obra;00028709/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00122025/23
gizo cosrumbre lavado vereda horario uso indevidar agua dejar él correr vereda . como dia hoy 10 02 2023 ser 12:40 .y hoy causar yo resbalar .tambien video tiempo dejar correr elagua;Ya se gizo cosrumbre el lavado de la vereda fuera de horario y el uso indevide del agua dejandola correr en la vereda.como el dia de hoy 10/02/2023 siendo las 12:40.y hoy causandome un resbalon.tambien tengo el video del tiempo que deja correr elagua;uso indebido agua limpiar vereda;Uso indebido del agua para limpiar las veredas;00083542/23
rata circular espacio hez edificio;Hay ratas circulando en espacios y heces en todo el edificio;desinfección Desinsectación Desratización establecimiento educativo estatal;Desinfección/Desinsectación/Desratización en establecimiento educativo estatal;00358642/23
estacionamiento interrumpar entrada garage;Estacionamiento interrumpe entrada de garage;vehículo mal estacionado;Vehículo mal estacionado;00109532/23
contenedor repleto residuo recolectar 4 dia;Contenedor repleto de residuos sin recolectar por 4 dias;queja Contenedores basura;Queja por Contenedores de basura;00160717/23
estacionado vereda;Estacionado sobre vereda;vehículo mal estacionado;Vehículo mal estacionado;00309966/23
Favor retirar resto poda;Favor retirar restos de poda;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00049929/23
poder entrar auto cochera alguien estacionado tapar rampa encontrar dentro auto alrededor;No pude entrar el auto a mi cochera porque alguien había estacionado tapando la rampa y no se encontraba ni dentro del auto ni alrededor.;vehículo mal estacionado;Vehículo mal estacionado;00163614/23
luz peligro esquina foto ver mucho luz saber;No hay luz, es un peligro esa esquina. En la foto se ve mucha más luz de la que hay, no saben lo que es.;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00030873/23
vecina solicitar luz esquina condarco general riva debido esquina encontrar oscuro mucho inseguridad;la vecina solicita luz en la esquina de condarco y general rivas debido a que esa esquina se encuentra muy oscura y hay mucha inseguridad;Mayor iluminación calle plaza;Mayor iluminación en calle / plaza;00011015/23
vehículo estacionado lugar reservado vehículo emergencia;El vehículo está estacionado en lugar reservado para vehículos de emergencia;vehículo mal estacionado;Vehículo mal estacionado;00273130/23
retiro bolsa dd escombro;Retiro de bolsas dd escombros;retiro escombro resto obra;Retiro de escombros / restos de obra;00125496/23
moto mal estacionado vereda frente entrada edificio;Esta moto está mal estacionada sobre la vereda y frente a la entrada del edificio.;vehículo mal estacionado;Vehículo mal estacionado;00007707/23
;;vehículo mal estacionado;Vehículo mal estacionado;00025802/23
arbol inmenso mucho copa pegar luminaria rafaelo 3912 tapa todo luz noche peligroso;hay un arbol inmenso con mucha copa pegado a la luminaria en rafaela 3912 y tapa toda la luz y de noche es peligroso;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00093836/23
__image __;__image__;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00262843/23
Limpieza tacho reubicación encontrar Puerta Escuela N 9 18 Provincia Misiones dejar estacionar padre disco prohibido estacionar;Limpieza de tachos y reubicación ya que se encuentran en la Puerta de la Escuela N 9 DE 18 Provincia de Misiones no deja estacionar a los padres, hay discos de prohibido estacionar;Limpieza Campana residuo diseminado alrededor;Limpieza de Campana y/o residuos diseminados alrededor;00357749/23
cruce pelogroso gran caudal alumno vehiculo respetar minima 20 marzo accidente esquina Irigoyen alcaraz;Cruce pelogroso, gran caudal de alumnos, los vehiculos no respetan la minima de 20, en marzo hubo un accidente en la esquina de Irigoyen y alcaraz;cruce peligroso calle inconveniente vial;Cruce peligroso o calle con inconvenientes viales;00350962/23
árbol crecido riesgo caída rama viento fuerte tormenta;El árbol está muy crecido con riesgo de caída de ramas vientos fuertes y tormentas.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00071075/23
solicitar favor retirar residuo voluminoso Gracias;Solicito por favor retirar residuos voluminosos. Gracias;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00116139/23
resto poder santo Rita espinas poder Embolsar Gracias;Restos de poda es santa Rita. Tiene espinas no la puedo Embolsar. Gracias;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00139497/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00356908/23
vereda mal poder cruzar silla rueda día lluvia acumular bastante agua .. debido reparación bache Edesur aysa metro gas . .;Vereda en mal estado no puede cruzar ni una silla de ruedas, días de lluvias se acumula bastante agua.. Esto es debido a reparaciones Y baches de Edesur, aysa y metro gas..;reparación veredo;Reparación de vereda;00039654/23
Grafitti nombre color negro celeste arriba fachada ladrillo;Grafitti de un nombre en color negro y uno celeste más arriba, sobre fachada de ladrillos;hidrolavado grafitis pegatina;Hidrolavado por grafitis/pegatinas;00126881/23
solicitar retiro resto poda domiciliario hacer mas semana vereda gestionar reclamo refuerzo respuesta organismo perro callejero romper bolsa esparcer cuadra requerir retiro mas urgente posible seguir traer inconveniente;Solicita el retiro de restos de poda domiciliaria ya que estos están hace mas de una semana en la vereda ya gestiono reclamos y refuerzos pero no hubo respuesta del organismo, los perros callejeros rompieron las bolsas y se están esparciendo por la cuadra requiere el retiro lo mas urgente posible antes de que sigan trayendo inconvenientes.;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00244510/23
favor poder habilitar juego agua realizar instalación jamás poner funcionamiento mucho gracias;Por favor, podrían habilitar los juegos de agua? Realizaron la instalación y jamás los pusieron en funcionamiento. Muchas gracias;mantenimiento patio juego parque plaza;Mantenimiento de patio de juegos en parque/plaza;00025206/23
estacionado puerta cochera 12:00 17:30 impedir entrada salido vehículo;Está estacionado en la puerta de la cochera, desde las 12:00, son las 17:30 impidiendo la entrada y salida de vehículos;vehículo mal estacionado;Vehículo mal estacionado;00270927/23
;;vehículo mal estacionado;Vehículo mal estacionado;00089879/23
;;vehículo mal estacionado;Vehículo mal estacionado;00151248/23
auto mal estacionado puerta colegio lujar micro poder parar bajir chico;Auto mal estacionado en la puerta del colegio lujan. El micro no puede parar para que bajen los chicos.;vehículo mal estacionado;Vehículo mal estacionado;00246674/23
buen tarde día ayer 5 1 2023 recibir correo informar web Gestión Colaborativa encontrar funcionamiento embargo tratar cargar solicitud día hoy error persistir agradecer favor revisar nuevamente necesitar elevar 2 reclamo reparación vereda barrio Flores mucho gracias;Buenas tardes, en el día de ayer 5/1/2023 recibí un correo informando que la web de Gestión Colaborativa se encontraba en funcionamiento. Sin embargo, al tratar de cargar la solicitud en el día de hoy, el error persiste. Agradeceré por favor revisar nuevamente ya que necesito elevar 2 reclamos de reparación de vereda en el barrio de Flores. Muchas gracias.;inconveniente plataforma Gestión Colaborativa;Inconvenientes con la plataforma de Gestión Colaborativa;00011590/23
favor serio conveniente colocar mas iluminario espacio juego plaza angel gris lateral dar calle Calcena quedar oscuro si solicitud cargar el categoria pedir favor hacer saber Gracias;Por favor, seria conveniente colocar mas iluminaria en espacio de juegos de la plaza el angel gris. Sobre el lateral que da sobre la calle Calcena, queda oscuro. Si la solicitud hay que cargarla en otra categoria les pido por favor que me lo hagan saber. Gracias!;Mayor iluminación calle plaza;Mayor iluminación en calle / plaza;00063061/23
cruce peatonal peligroso semáforo;Es un cruce peatonal muy peligroso sin semáforo;cruce peligroso calle inconveniente vial;Cruce peligroso o calle con inconvenientes viales;00063067/23
permitir confirmar solicitud reparación vereda indicar error pedir comunicar él 147 llamar saber responder solucionar problema;No permite confirmar la solicitud de reparación de vereda. No indica cual es el error. Pide comunicarse al 147, ya llamé pero no saben responder ni solucionar el problema.;inconveniente plataforma Gestión Colaborativa;Inconvenientes con la plataforma de Gestión Colaborativa;00078956/23
frecuente solicito sw ocupar limpiar corresponder;Esto es frecuente, solicito que sw ocupen de limpiar como corresponde;queja Contenedores basura;Queja por Contenedores de basura;00093384/23
vecina comentar contebnedor negro ma AL ubicado quirer corramn LUGAR cosa seria laven desinfecten manera urgente;LA VECINA COMENTA QUE TIENE UN CONTEBNEDOR NEGRO MAL UBICADO LO CUAL QUIERE QUE LO CORRAMN DE LUGAR, OTRA COSA SERIA QUE LO LAVEN Y DESINFECTEN DE MANERA URGENTE;queja Contenedores basura;Queja por Contenedores de basura;00152420/23
;;queja Contenedores basura;Queja por Contenedores de basura;00152210/23
;;queja Contenedores basura;Queja por Contenedores de basura;00164655/23
;;queja Contenedores basura;Queja por Contenedores de basura;00164662/23
;;queja Contenedores basura;Queja por Contenedores de basura;00164666/23
;;queja Contenedores basura;Queja por Contenedores de basura;00164660/23
;;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00164670/23
necesitar cambiar contenedor lugar poner garage;Necesito que cambien el contenedor de lugar, estamos poniendo un garage;queja Contenedores basura;Queja por Contenedores de basura;00166175/23
necesitar cambiar lugar construir garage;Necesito que lo cambien de lugar, estoy construyendo un garage;queja Contenedores basura;Queja por Contenedores de basura;00173498/23
hace año ahi siempre sucio insalubre necesito favor cambien;HACE AÑOS ESTA AHI, SIEMPRE SUCIO, ES INSALUBRE, NECESITO QUE POR FAVOR LO CAMBIEN;queja Contenedores basura;Queja por Contenedores de basura;00164653/23
;;queja Contenedores basura;Queja por Contenedores de basura;00203918/23
vez basura calle;Otra vez basura en la calle;queja Contenedores basura;Queja por Contenedores de basura;00203922/23
vez juntar basura;Otra vez, no juntaron la basura;queja Contenedores basura;Queja por Contenedores de basura;00312614/23
Esquina Astor PIAZZOLLA mafalda Sector edificio procrear;Esquina Astor PIAZZOLLA y mafalda. Sector edificios procrea.;retiro escombro resto obra;Retiro de escombros / restos de obra;00350333/23
Dirección Astor PIAZZOLLA mafalda Justo esquina Barrio edificio procrear;Dirección Astor PIAZZOLLA y mafalda. Justo en la esquina. Barrio edificios de procrear;retiro escombro resto obra;Retiro de escombros / restos de obra;00350322/23
mal roto;Esta en mal estado y roto;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00305417/23
recibir mantenimiento cantero árbol plantar ir morir si sacar maleza roedor;No recibimos mantenimiento de cantero, el árbol que plantaron se va a morir si no le sacan la maleza. Hay roedores.;problema intervención arbolado;Problemas con intervenciones de arbolado;00153756/23
solicitar fumigar alacrán zona;solicita que fumiguen por que hay alacranes en la zona;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00278648/23
imposible utilizar parque fin semana así querer larreta ganar voto dejar hacer querer Inútil desastre parque;Imposible utilizar el parque durante los fin de semana. Así quiere larreta ganar votos? Dejando hacer lo que quiere? Inútil. Es un desastre el parque;ocupación indebido mantero vendedor ambulante;Ocupación indebida por mantero o vendedor ambulante;00106208/23
estacionado tercero fila obstruir paso vehiculo;Estacionado en tercer fila obstruyendo paso de vehiculos;vehículo mal estacionado;Vehículo mal estacionado;00142759/23
luz parque ameghino;No hay luz en el parque ameghino;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00211523/23
luz Parque Ameghino seguridad robar oscuro;No hay luz en el Parque Ameghino y no hay seguridad. Están robando porque esta a oscuras;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00282396/23
parque Florentino Ameghino mitad mismo encontrar luz calle casero patagón indicar varios vecino realizar solicitud arreglo luminario figurar mismo cumplido provocar mucho inseguridad debido esconder oscuridad parque robar ingresar edificio;en el parque Florentino Ameghino la mitad del mismo se encuentra sin luz desde la calle caseros hasta patagones. Indica que varios vecinos realizaron la solicitud del arreglo de la luminaria y figuran los mismos cumplidos. Esto provoca mucha inseguridad debido a que se esconden en la oscuridad del parque para robar o ingresar a los edificios.;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00312210/23
luz parque direccion detallado parque oscuro generar inseguridad barrio falta presencia policial;no hay luz en el parque, en la direccion detallada pero el parque esta todo oscuro y genera inseguridad en el barrio con la falta de presencia policial;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00328928/23
B;B;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00132396/23
vecina solicitar retiro rama madero;La vecina solicita el retiro de las ramas y maderas.;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00248998/23
vecina solicitar pasar retirar resto madera alero podo encontrar vereda realizar solicitud figura cumplido pasar retirar;Vecina solicita que pasen a retirar los restos de madera del alero que podo y se encuentra en la vereda, ya realizo la solicitud y figura cumplido pero no pasaron a retirar nada.;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00272174/23
vecina solicitar retiro residuo voluminoso dirección Helguera 2418 indicar maderas vía publicar lado árbol dirección;La vecina solicita el retiro de residuos voluminosos, en la dirección Helguera 2418. Indica que son maderas que están en la vía publica, al lado de un árbol de la dirección.;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00265004/23
abandonado hacer 15 día aprox después vuelco desmantelar;abandonado desde hace 15 días aprox,, después de un vuelco, lo están desmantelando;remoción vehículo abandonado;Remoción de vehículo abandonado;00075476/23
vehículo volcar abandonado hacer mes aproximadamente desmantelar diario quitar todo cubierto temer ocupar alguien;el vehículo volcó, y fue abandonado hace un mes aproximadamente, lo están desmantelando a diario, ya quitaron todas las cubiertas, temo lo ocupe alguien;remoción vehículo abandonado;Remoción de vehículo abandonado;00108971/23
Moto estacionado ocupar todo vereda;Moto estacionada ocupando toda la vereda;vehículo mal estacionado;Vehículo mal estacionado;00272216/23
Moto estacionado ocupar todo vereda;Moto estacionada ocupando toda la vereda;vehículo mal estacionado;Vehículo mal estacionado;00272203/23
moto estacionado vereda ocupar acceso vehiculo calle;Moto estacionada en vereda y ocupando acceso a vehiculo en la calle;vehículo mal estacionado;Vehículo mal estacionado;00272225/23
Moto estacionado ocupar todo vereda;Moto estacionada ocupando toda la vereda;vehículo mal estacionado;Vehículo mal estacionado;00338340/23
resto jardinería;Restos de jardinería;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00133993/23
todo cuadra rata pasear contenedor hacia todo vereda;en toda la cuadra hay ratas que se pasean desde los contenedores hacia toda la vereda;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00000507/23
dos contenedor cuadra roto pedal tapa;Hay dos contenedores en la cuadra y uno tiene roto el pedal y el otro la tapa;queja Contenedores basura;Queja por Contenedores de basura;00000505/23
hacer 2 semana artefacto luminario calle encontrar roto;Hace 2 semanas que el artefacto de luminaria de esa calle se encuentra roto;reparación luminario artefacto roto;Reparación de luminaria por artefacto roto;00000500/23
vecina indicar trabado tapa poder levantar;La vecina indica que esta trabada la tapa y no se puede levantar.;queja Contenedores basura;Queja por Contenedores de basura;00017602/23
;;queja Contenedores basura;Queja por Contenedores de basura;00012617/23
solicitar reparación Pedal tapa contenedor;Se solicita reparación de Pedal y tapa de contenedor;queja Contenedores basura;Queja por Contenedores de basura;00047269/23
;;queja Contenedores basura;Queja por Contenedores de basura;00113570/23
solicitar reubicación contenedor previamente ubicado Lascano 2864;se solicita la reubicación del contenedor previamente ubicado en Lascano 2864;queja Contenedores basura;Queja por Contenedores de basura;00113574/23
